89,Burp Cloth,Cotton,4,Single Crochet,2,5.00,Baby
90,Washcloths,Cotton,4,Single Crochet,3,7.00,Baby
91,Towel Set,Cotton,4,Single Crochet,5,15.00,Baby
92,Diaper Cover,Cotton,4,Single Crochet,3,8.00,Baby
93,Changing Pad Cover,Cotton,4,Single Crochet,5,12.00,Baby
94,Stroller Blanket,Cotton,4,Granny Stripe,10,25.00,Baby
95,Car Seat Cover,Cotton,4,Granny Square,12,30.00,Home Decor
96,Play Gym,Cotton,5,Various,15,40.00,Baby
97,Mobile Toys,Cotton,3,Single Crochet,4,10.00,Baby
98,Wall Hanging (Nursery),Cotton,4,Various,6,15.00,Baby
99,Storage Baskets,Cotton Rope,8,Single Crochet,8,20.00,Home Decor
100,Toy Basket,Cotton Rope,8,Single Crochet,5,15.00,Baby
101,Coasters,Cotton,3.5,Single Crochet,2,6.00,Home Decor
102,Phone Case,Cotton,2.5,Single Crochet,3,7.50,Accessory
103,Vintage Bookmark,Cotton,2,Single Crochet,1,3.00,Gift
104,Keychain,Cotton,2,Single Crochet,1.5,4.50,Accessory
105,Modern Earrings,Cotton Thread,1.5,Single Crochet,2,5.00,Jewelry
106,Green Hair Scrunchie,Cotton,4,Single Crochet,1,2.50,Accessory
107,Brown Belt,Cotton,5,Single Crochet,4,12.00,Accessory
108,Blue Rug,T-Shirt Yarn,10,Single Crochet,15,40.00,Home Decor
109,Rope Basket,Cotton Rope,8,Single Crochet,10,25.00,Home Decor
110,Wall Hanging,Cotton Yarn,5,Various Stitches,12,30.00,Home Decor
111,Pillow Cover,Cotton,4,Granny Square,8,20.00,Home Decor
112,Tea Cozy,Cotton,3.5,Single Crochet,3,8.00,Kitchen
113,Christmas Ornament,Cotton,2.5,Single Crochet,2,5.00,Holiday Decor
